CNAE 2.0 Classe;Faixa Etária;Escolaridade após 2005;Idade;Raça Cor;Sexo Trabalhador;uf;valor_remuneracao_media
84116;07;01;57;99;01;14;2161.7
84116;08;01;74;99;01;14;1212
84116;03;01;20;99;01;14;1412.94
84116;03;01;24;99;01;14;1899.05
84116;04;01;26;99;01;14;1245.66
84116;06;01;41;99;01;14;1212
84116;06;01;41;99;01;14;2871.41
84116;06;01;48;99;01;14;1463.54
84116;06;01;42;99;01;14;1558.01
84116;07;01;50;99;01;14;1669.41
84116;05;01;36;99;01;14;1469.41
84116;05;01;32;99;01;14;1681.58
84116;05;01;33;99;01;14;1147.27
84116;06;01;42;99;01;14;1212
84116;03;01;24;99;01;14;1274
84116;04;01;26;99;01;14;1212
84116;05;01;30;99;01;14;1356.47
84116;05;01;39;99;01;14;1758.27
84116;04;01;26;99;01;14;1299.27
84116;05;01;35;99;01;14;1669.63
84116;04;01;29;99;01;14;1369.73
84116;07;01;51;99;01;14;2711.11
84116;07;01;60;99;01;14;1557.08
90019;08;01;70;99;01;14;1212
41204;07;01;62;08;01;14;2054.4
41204;08;01;68;08;01;14;2253.42
42120;05;01;35;09;01;14;0
43134;07;01;56;02;01;14;0
42138;06;01;44;08;01;14;1638.49
47717;03;01;18;09;01;14;1212
43134;07;01;56;02;01;14;2227.09
01393;05;01;32;02;01;14;1410.94
42120;05;01;33;09;01;14;0
85121;06;01;40;08;01;14;1228
81214;03;01;24;08;01;14;1264.58
47113;05;01;31;08;01;14;2566.25
81214;07;01;51;08;01;14;1269.25
49302;03;01;22;09;01;14;1177
01512;07;01;52;08;01;14;1271.09
01555;04;01;29;08;01;14;1267.93
01512;07;01;51;09;01;14;1353.33
01512;07;01;52;08;01;14;1212
84116;05;01;39;99;01;14;1800
84116;05;01;31;99;01;14;7816.98
84116;04;01;28;99;01;14;1800
84116;04;01;28;99;01;14;2363.88
42995;07;01;56;08;01;14;0
23427;06;01;43;08;01;14;1892.4
47113;08;01;77;04;01;14;0
46923;06;01;40;09;01;14;2148.28
46923;03;01;21;09;01;14;2151.98
01512;06;01;40;06;01;14;1990.39
84116;05;01;36;99;01;14;1223.22
69206;07;01;63;08;01;14;1245.67
23427;05;01;37;09;01;14;0
96033;06;01;43;08;01;14;1253.55
43134;05;01;32;09;01;14;1135.49
96033;05;01;31;08;01;14;0
96033;07;01;58;08;01;14;1256.64
47237;08;01;66;08;01;14;0
43916;06;01;42;09;01;14;1374.52
01113;06;01;43;09;01;14;3211.59
01113;06;01;46;09;01;14;2495.46
42138;05;01;36;09;01;14;0
42138;02;01;16;09;01;14;0
71120;06;01;46;08;01;14;1229.64
01512;05;01;32;08;01;14;1994.67
23427;04;01;26;09;01;14;1892.17
94308;07;01;55;04;01;14;1249.03
47318;04;01;27;09;01;14;1628.12
94308;07;01;53;08;01;14;0
46133;06;01;47;08;01;14;2142.5
56112;05;01;32;08;01;14;1498.36
36006;07;01;61;08;01;14;3608.17
36006;08;01;65;01;01;14;3457.61
02101;06;01;45;08;01;14;1212
94308;04;01;25;09;01;14;1706.49
94308;05;01;30;09;01;14;1693.93
47318;05;01;31;09;01;14;1848.3
23427;06;01;47;08;01;14;1260.26
43223;06;01;42;09;01;14;1952.78
43223;05;01;39;09;01;14;1400
42111;07;01;62;08;01;14;1935.5
42111;08;01;65;08;01;14;1935.5
42111;07;01;60;08;01;14;1922.2
78108;05;01;35;09;01;14;2495.47
42111;07;01;64;08;01;14;1749.8
78108;03;01;24;09;01;14;2706.81
42111;08;01;80;08;01;14;0
01512;08;01;94;02;01;14;0
42111;08;01;82;08;01;14;0
52125;06;01;48;08;01;14;0
42219;08;01;82;09;01;14;1619.37
77110;06;01;48;08;01;14;1273.48
49302;07;01;58;09;01;14;1647.97
41204;05;01;30;08;01;14;0
47431;03;01;20;08;01;14;1106.46
41204;04;01;25;08;01;14;1374.03
49213;03;01;22;09;01;14;1502.88
46745;04;01;25;09;01;14;1237.78
32990;03;01;22;09;01;14;1070.6
01512;07;01;64;08;01;14;1212
46397;05;01;32;09;01;14;1073.33
46397;03;01;21;09;01;14;0
46397;04;01;29;09;01;14;929.2
46397;03;01;24;09;01;14;929.2
01512;07;01;57;08;01;14;1896.3
49221;03;01;22;04;01;14;1390.17
49221;08;01;68;02;01;14;0
01512;07;01;53;08;01;14;1135.69
41107;07;01;59;04;01;14;1367.46
43991;06;01;41;08;01;14;1819.88
47717;05;01;37;09;01;14;1538.86
47121;03;01;23;08;01;14;1327.14
01512;06;01;45;08;01;14;4953.56
46796;05;01;31;08;01;14;0
01512;05;01;38;08;01;14;1698.35
01113;07;01;63;09;01;14;1645.32
46818;07;01;58;02;01;14;1144.67
10953;07;01;53;08;01;14;1231.97
96017;06;01;41;09;01;14;0
47610;07;01;50;09;01;14;1930.14
82113;06;01;41;08;01;14;0
82113;05;01;38;04;01;14;0
78205;07;01;52;09;01;14;1523.03
47440;05;01;36;08;01;14;1592.34
